Uuendatud Githubis,01.05.2018,
Dokumendi liigid,,
AK,arengukava,
STR,Strateegia,
TK,tegevuskava,
VR,Valge Raamat,
RR,Roheline Raamat,
KODAR,Kodanikuühiskonna arengukava,
Organisatsioonid,,
VV,Vabariigi Valitsus,
HTM,Haridus- ja teadusministeerium,
JUM,Justiitsministeerium,
KAM,Kaitseministeerium,
KEM,Keskkonnaministeerium,
KUM,Kultuuriministeerium,
MKM,Majandus- ja kommunikatsiooniministeerium,
MEM,Maaeluministeerium,
RAM,Rahandusministeerium,
SIM,Siseministeerium,
SOM,Sotsiaalministeerium,
VÄM,Välisministeerium,
Riigikogu,Riigikogu,
Riigikantselei,Riigikantselei,
ITAO,Infoühiskonna teenuste arendamise osakond,
EMSL,Vabaühenduste liit,
SAK,Säästva arengu komisjon,
EKAK,Avaliku sektori ja kodanikuühenduste ühiskomisjon,
Mõõdikud,,
SDG,Üleilmsed säästva arengu eesmärgid,https://riigikantselei.ee/sites/default/files/content-editors/Failid/eesti_saastva_arengu_naitajate_nimekiri_20.12.2017.pdf
Muu,,
AVP,avatud valitsemise partnerlus,
IÜ,infoühiskond,
